split	prefix	model	dataset	label	beta	mean_best_val_loss	lower_std	upper_std	seed_count	seed_best_val_losses
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.00000	1.0929792073	0.0000000000	0.0000000000	1	1.0929792073
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.43766	1.0506504488	0.0000000000	0.0000000000	1	1.0506504488
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.68377	1.0571334759	0.0000000000	0.0000000000	1	1.0571334759
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.82217	1.0509826688	0.0000000000	0.0000000000	1	1.0509826688
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.90000	1.0295211945	0.0000000000	0.0000000000	1	1.0295211945
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.94377	1.0392668393	0.0000000000	0.0000000000	1	1.0392668393
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.96838	1.0347265147	0.0070924898	0.0115105375	3	1.0248263343;1.0331161576;1.0462370522
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.98222	1.0271492497	0.0057636863	0.0106505270	3	1.0240289009;1.0196190715;1.0377997767
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.99000	1.0256512135	0.0016337862	0.0030285077	3	1.0247503865;1.0235235328;1.0286797211
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.99438	1.0264420011	0.0107867232	0.0056546342	3	1.0335343444;1.0156552780;1.0301363811
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.99684	1.0283245099	0.0151279301	0.0302087121	3	1.0140643678;1.0123759398;1.0585332219
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.99822	1.0395013071	0.0000000000	0.0000000000	1	1.0395013071
development	resnet50_food101_bs128	ResNet50	Food-101	ResNet50 on Food-101	0.99900	1.0881424384	0.0000000000	0.0000000000	1	1.0881424384
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.00000	1.1346340045	0.0000000000	0.0000000000	1	1.1346340045
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.43766	0.9829902723	0.0000000000	0.0000000000	1	0.9829902723
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.68377	0.9980390236	0.0000000000	0.0000000000	1	0.9980390236
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.82217	0.9754864819	0.0000000000	0.0000000000	1	0.9754864819
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.90000	0.9732744507	0.0000000000	0.0000000000	1	0.9732744507
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.94377	0.9611915842	0.0078504885	0.0134919703	3	0.9746835545;0.9504303962;0.9584608018
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.96838	0.9576168567	0.0042576854	0.0084071964	3	0.9527367622;0.9540897548;0.9660240531
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.98222	0.9647529701	0.0053526471	0.0036393679	3	0.9594003230;0.9649630636;0.9698955238
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.99000	0.9586240123	0.0033512705	0.0050802824	3	0.9582698941;0.9538978480;0.9637042947
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.99438	0.9537233025	0.0146033853	0.0102387352	3	0.9682025284;0.9538474619;0.9391199172
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.99684	0.9786938101	0.0000000000	0.0000000000	1	0.9786938101
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.99822	0.9637367964	0.0000000000	0.0000000000	1	0.9637367964
development	resnet50_imagenet100_bs128	ResNet50	ImageNet100	ResNet50 on ImageNet100	0.99900	0.9722076565	0.0000000000	0.0000000000	1	0.9722076565
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.00000	2.7614643966	0.0000000000	0.0000000000	1	2.7614643966
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.43766	2.0146778445	0.0000000000	0.0000000000	1	2.0146778445
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.68377	1.8550008234	0.0000000000	0.0000000000	1	1.8550008234
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.82217	1.7928118223	0.0000000000	0.0000000000	1	1.7928118223
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.90000	1.7522462516	0.0160031077	0.0270194223	3	1.7792656739;1.7301582445;1.7473148364
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.94377	1.7276383573	0.0332835500	0.0193923123	3	1.7343245760;1.6943548073;1.7542356886
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.96838	1.7312331919	0.0108027996	0.0071537241	3	1.7413250766;1.7204303923;1.7319441068
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.98222	1.7626860122	0.0176313462	0.0103097528	3	1.7661561347;1.7768472358;1.7450546660
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.99000	1.7716570841	0.0031498021	0.0056073721	3	1.7674179198;1.7772644562;1.7702888763
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.99438	1.8851628485	0.0000000000	0.0000000000	1	1.8851628485
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.99684	2.0706911027	0.0000000000	0.0000000000	1	2.0706911027
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.99822	2.8406488745	0.0000000000	0.0000000000	1	2.8406488745
development	vitb16_cifar100_bs128	ViT-B/16	CIFAR-100	ViT-B/16 on CIFAR-100	0.99900	3.1448710236	0.0000000000	0.0000000000	1	3.1448710236
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.00000	4.6929019011	0.0000000000	0.0000000000	1	4.6929019011
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.43766	4.1757425477	0.0000000000	0.0000000000	1	4.1757425477
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.68377	2.9544810917	0.0000000000	0.0000000000	1	2.9544810917
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.82217	2.8171117668	0.0000000000	0.0000000000	1	2.8171117668
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.90000	2.7386810267	0.0184548625	0.0092416156	3	2.7484202898;2.7473966260;2.7202261641
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.94377	2.6735725005	0.0038584658	0.0075606203	3	2.6811331209;2.6705648567;2.6690195241
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.96838	2.6932956332	0.0198442488	0.0103421357	3	2.6734513844;2.7061351568;2.7003003585
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.98222	2.7137131434	0.0243346827	0.0128966852	3	2.6893784608;2.7216049387;2.7301560308
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.99000	2.7546326873	0.0773094678	0.1196448109	3	2.6458405603;2.8742774981;2.7437800033
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.99438	2.7530951319	0.0000000000	0.0000000000	1	2.7530951319
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.99684	2.7982649879	0.0000000000	0.0000000000	1	2.7982649879
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.99822	2.8337339419	0.0000000000	0.0000000000	1	2.8337339419
development	vitb16_tinyimagenet_bs128	ViT-B/16	TinyImageNet	ViT-B/16 on TinyImageNet	0.99900	3.4917567410	0.0000000000	0.0000000000	1	3.4917567410
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.00000	3.9433411884	0.0000000000	0.0000000000	1	3.9433411884
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.43766	3.5135703087	0.0000000000	0.0000000000	1	3.5135703087
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.68377	3.4535319185	0.0000000000	0.0000000000	1	3.4535319185
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.82217	3.4244392808	0.0010931571	0.0007001791	3	3.4233461237;3.4245482492;3.4254234695
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.90000	3.4111000586	0.0011106150	0.0020767832	3	3.4131768417;3.4104556322;3.4096677017
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.94377	3.4068911648	0.0011254025	0.0006064954	3	3.4076801491;3.4072275829;3.4057657623
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.96838	3.4089660724	0.0008120396	0.0014829985	3	3.4104490709;3.4085556126;3.4078935337
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.98222	3.4193153683	0.0012008437	0.0022026141	3	3.4215179825;3.4177353668;3.4186927557
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.99000	3.4517505789	0.0000000000	0.0000000000	1	3.4517505789
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.99438	3.5270373058	0.0000000000	0.0000000000	1	3.5270373058
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.99684	3.7533438253	0.0000000000	0.0000000000	1	3.7533438253
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.99822	4.2544183350	0.0000000000	0.0000000000	1	4.2544183350
development	nanogpt_wikitext103_bs8	NanoGPT	WikiText-103	NanoGPT on WikiText-103	0.99900	4.8374419308	0.0000000000	0.0000000000	1	4.8374419308
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.00000	4.5769441319	0.0000000000	0.0000000000	1	4.5769441319
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.43766	4.0850852966	0.0000000000	0.0000000000	1	4.0850852966
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.68377	3.9956978369	0.0000000000	0.0000000000	1	3.9956978369
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.82217	3.9568511645	0.0019712155	0.0039327558	3	3.9550228024;3.9547467709;3.9607839203
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.90000	3.9392696317	0.0008886681	0.0015611331	3	3.9380642748;3.9389138556;3.9408307648
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.94377	3.9312254175	0.0015273919	0.0022875659	3	3.9335129833;3.9290693665;3.9310939026
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.96838	3.9312834628	0.0013695471	0.0023089759	3	3.9335924387;3.9293922138;3.9308657360
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.98222	3.9380223465	0.0013328932	0.0026403570	3	3.9365185022;3.9368858337;3.9406627035
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.99000	3.9660104275	0.0000000000	0.0000000000	1	3.9660104275
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.99438	4.0545907736	0.0000000000	0.0000000000	1	4.0545907736
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.99684	4.3240650272	0.0000000000	0.0000000000	1	4.3240650272
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.99822	4.9103354168	0.0000000000	0.0000000000	1	4.9103354168
development	nanogpt_openwebtext_bs8	NanoGPT	OpenWebText	NanoGPT on OpenWebText	0.99900	5.5253422165	0.0000000000	0.0000000000	1	5.5253422165
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.00000	10.4963221497	0.0000000000	0.0000000000	1	10.4963221497
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.43766	3.5693718401	0.0000000000	0.0000000000	1	3.5693718401
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.68377	3.4745064898	0.0000000000	0.0000000000	1	3.4745064898
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.82217	3.4291627448	0.0024081075	0.0012055387	3	3.4303069822;3.4304266149;3.4267546373
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.90000	3.4079262707	0.0015074383	0.0008492865	3	3.4082885884;3.4090713914;3.4064188325
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.94377	3.4010721141	0.0011179386	0.0018125237	3	3.3995112713;3.4028846378;3.4008204332
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.96838	3.4043777456	0.0008020801	0.0015315671	3	3.4059093127;3.4033734081;3.4038505162
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.98222	3.4526013231	0.0030152941	0.0059311711	3	3.4490904846;3.4585324942;3.4501809905
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.99000	3.6052426799	0.0000000000	0.0000000000	1	3.6052426799
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.99438	3.8119430323	0.0000000000	0.0000000000	1	3.8119430323
development	llama60m_c4_bs64	Llama60M	C4	Llama60M on C4	0.99684	4.1133200956	0.0000000000	0.0000000000	1	4.1133200956
